Endpoint Manager Communication Client,116,1605--IT--KOCHI1
Adobe Refresh Manager,116,1605--IT--KOCHI1
Microsoft Visual C++ 2012 x86 Additional Runtime - 11.0.61030,116,1605--IT--KOCHI1
Microsoft Visual C++ 2012 x86 Minimum Runtime - 11.0.61030,116,1605--IT--KOCHI1
Microsoft Visual C++ 2012 Redistributable (x64) - 11.0.61030,116,1605--IT--KOCHI1
Windows 10 Update Assistant,116,1605--IT--KOCHI1
Python 3.8.5 Test Suite (32-bit),116,1605--IT--KOCHI1
Microsoft Visual C++ 2013 x86 Minimum Runtime - 12.0.40660,116,1605--IT--KOCHI1
Microsoft Visual C++ 2013 Redistributable (x64) - 12.0.40660,116,1605--IT--KOCHI1
Microsoft Visual C++ 2010  x86 Redistributable - 10.0.40219,116,1605--IT--KOCHI1
Realtek High Definition Audio Driver,116,1605--IT--KOCHI1
Python 3.8.5 Executables (32-bit),116,1605--IT--KOCHI1
Microsoft Visual C++ 2013 Redistributable (x86) - 12.0.30501,116,1605--IT--KOCHI1
Python 3.8.5 Documentation (32-bit),116,1605--IT--KOCHI1
Google Chat,116,1605--IT--KOCHI1
Microsoft Teams,116,1605--IT--KOCHI1
Zoom,116,1605--IT--KOCHI1
Python 3.8.5 (32-bit),116,1605--IT--KOCHI1
fonts-sil-abyssinica,186,3894--SW--POY
mokutil,186,3894--SW--POY
r-cran-googlesheets4,186,3894--SW--POY
libatk-adaptor,186,3894--SW--POY
libvorbisfile3,186,3894--SW--POY
libquadmath0,186,3894--SW--POY
libxkbfile1,186,3894--SW--POY
cuda-cuobjdump-11-4,186,3894--SW--POY
gir1.2-gtk-2.0,186,3894--SW--POY
linux-sound-base,186,3894--SW--POY
xserver-xorg-video-amdgpu-hwe-18.04,186,3894--SW--POY
python-apt-common,186,3894--SW--POY
libtinyxml2-6,186,3894--SW--POY
libgs9-common,186,3894--SW--POY
libnpth0,186,3894--SW--POY
libqt5qml5,186,3894--SW--POY
libroscpp-serialization0d,186,3894--SW--POY
libgtk2.0-bin,186,3894--SW--POY
vdpau-driver-all,186,3894--SW--POY
cppcheck,186,3894--SW--POY
python-secretstorage,186,3894--SW--POY
r-cran-tinytex,186,3894--SW--POY
evolution-data-server,186,3894--SW--POY
python-docutils,186,3894--SW--POY
libboost-locale-dev,186,3894--SW--POY
fdisk,186,3894--SW--POY
r-cran-memoise,186,3894--SW--POY
bind9-host,186,3894--SW--POY
libhtml-tagset-perl,186,3894--SW--POY
iputils-ping,186,3894--SW--POY
evince,186,3894--SW--POY
android-sdk-platform-tools,186,3894--SW--POY
libfontconfig1-dev,186,3894--SW--POY
mpi-default-bin,186,3894--SW--POY
libxi6,186,3894--SW--POY
ubuntu-advantage-tools,186,3894--SW--POY
python-idna,186,3894--SW--POY
libedit2,186,3894--SW--POY
libcurand-dev-11-4,186,3894--SW--POY
graphviz,186,3894--SW--POY
python3-cryptography,186,3894--SW--POY
libpam-runtime,186,3894--SW--POY
libvulkan1,186,3894--SW--POY
libvisionworks-samples,186,3894--SW--POY
vim-tiny,186,3894--SW--POY
liblist-moreutils-perl,186,3894--SW--POY
libxmlrpcpp-dev,186,3894--SW--POY
libbrotli1,186,3894--SW--POY
libldap2-dev,186,3894--SW--POY
libncurses5,186,3894--SW--POY
baobab,186,3894--SW--POY
hplip,186,3894--SW--POY
fonts-telu-extra,186,3894--SW--POY
libart-2.0-2,186,3894--SW--POY
libtool,186,3894--SW--POY
libcom-err2,186,3894--SW--POY
cuda-documentation-11-4,186,3894--SW--POY
libc6-x32,186,3894--SW--POY
libenchant1c2a,186,3894--SW--POY
libqt5core5a,186,3894--SW--POY
transmission-gtk,186,3894--SW--POY
libminizip1,186,3894--SW--POY
libxcb-xinerama0,186,3894--SW--POY
libgomp1,186,3894--SW--POY
libreoffice-draw,186,3894--SW--POY
libkpathsea6,186,3894--SW--POY
libnet-domain-tld-perl,186,3894--SW--POY
gir1.2-nm-1.0,186,3894--SW--POY
libwayland-bin,186,3894--SW--POY
libjs-jquery,186,3894--SW--POY
pulseaudio,186,3894--SW--POY
libpaper1,186,3894--SW--POY
gcc-7-aarch64-linux-gnu-base,186,3894--SW--POY
libpgm-5.2-0,186,3894--SW--POY
distro-info,186,3894--SW--POY
rhythmbox-plugins,186,3894--SW--POY
libqt5quick5,186,3894--SW--POY
libatomic1,186,3894--SW--POY
libxaw7,186,3894--SW--POY
libapr1,186,3894--SW--POY
libx11-xcb-dev,186,3894--SW--POY
libpython3-stdlib,186,3894--SW--POY
update-inetd,186,3894--SW--POY
libreoffice-help-en-us,186,3894--SW--POY
r-cran-rappdirs,186,3894--SW--POY
libibverbs1,186,3894--SW--POY
cpp,186,3894--SW--POY
liblsan0-arm64-cross,186,3894--SW--POY
libraw1394-dev,186,3894--SW--POY
xserver-xorg-video-radeon-hwe-18.04,186,3894--SW--POY
libxcb-present0,186,3894--SW--POY
python-pip-whl,186,3894--SW--POY
libboost-fiber1.65.1,186,3894--SW--POY
imagemagick-6-common,186,3894--SW--POY
gir1.2-goa-1.0,186,3894--SW--POY
libglib-perl,186,3894--SW--POY
libgstreamer-plugins-base1.0-0,186,3894--SW--POY
libboost-serialization-dev,186,3894--SW--POY
cuda-nvvp-11-4,186,3894--SW--POY
libapt-pkg5.0,186,3894--SW--POY
libaudit1,186,3894--SW--POY
xcursor-themes,186,3894--SW--POY
cuda-nvtx-cross-aarch64-10-2,186,3894--SW--POY
libglvnd0,186,3894--SW--POY
gir1.2-atspi-2.0,186,3894--SW--POY
spice-vdagent,186,3894--SW--POY
readline-common,186,3894--SW--POY
libpython-dev,186,3894--SW--POY
python3-yaml,186,3894--SW--POY
nautilus-extension-gnome-terminal,186,3894--SW--POY
libpython3.6-stdlib,186,3894--SW--POY
remmina-plugin-vnc,186,3894--SW--POY
unrar,186,3894--SW--POY
libgnomekbd-common,186,3894--SW--POY
binfmt-support,186,3894--SW--POY
libopengl0,186,3894--SW--POY
libopencv-videoio-dev,186,3894--SW--POY
libgts-0.7-5,186,3894--SW--POY
gnome-settings-daemon-schemas,186,3894--SW--POY
ncurses-term,186,3894--SW--POY
libindicator3-7,186,3894--SW--POY
libsctp-dev,186,3894--SW--POY
fonts-pagul,186,3894--SW--POY
debhelper,186,3894--SW--POY
libglib2.0-doc,186,3894--SW--POY
gcc-8-cross-base,186,3894--SW--POY
libavutil-dev,186,3894--SW--POY
tree,186,3894--SW--POY
libsratom-0-0,186,3894--SW--POY
r-cran-callr,186,3894--SW--POY
fonts-samyak-taml,186,3894--SW--POY
gstreamer1.0-clutter-3.0,186,3894--SW--POY
libboost-tools-dev,186,3894--SW--POY
libboost-container1.65.1,186,3894--SW--POY
fonts-tlwg-garuda,186,3894--SW--POY
libcairo2,186,3894--SW--POY
console-setup,186,3894--SW--POY
libisc169,186,3894--SW--POY
gstreamer1.0-qt5,186,3894--SW--POY
libnss-mdns,186,3894--SW--POY
gnome-accessibility-themes,186,3894--SW--POY
libsbc1,186,3894--SW--POY
nsight-systems-2021.1.3,186,3894--SW--POY
cuda-toolkit-config-common,186,3894--SW--POY
r-cran-gargle,186,3894--SW--POY
gstreamer1.0-plugins-base,186,3894--SW--POY
intel-microcode,186,3894--SW--POY
libtinfo5,186,3894--SW--POY
